name,city,country
Scott Laughton,"Oakville, ON",CAN
Curtis Lazar,"Salmon Arm, BC",CAN
Nick Leddy,"Eden Prairie, MN",USA
Anders Lee,"Edina, MN",USA
Taylor Leier,"Saskatoon, SK",CAN
Josh Leivo,"Innisfil, ON",CAN
Brett Lernout,"Winnipeg, MB",CAN
Kris Letang,"Montreal, QC",CAN
Mark Letestu,"Elk Point, AB",CAN
Trevor Lewis,"Salt Lake City, UT",USA
Mike Liambas,"Toronto, ON",CAN
John-Michael Liles,"Indianapolis, IN",USA
Bryan Little,"Edmonton, AB",CAN
Matt Lorito,"Oakville, ON",CAN
Ben Lovejoy,"Concord, NH",USA
Adam Lowry,"St. Louis, MO",USA
Milan Lucic,"Vancouver, BC",CAN
Clarke MacArthur,"Lloydminster, AB",CAN
Andrew MacDonald,"Judique, NS",CAN
Derek MacKenzie,"Sudbury, ON",CAN
Nathan MacKinnon,"Halifax, NS",CAN
Sean Malone,"Buffalo, NY",USA
Brandon Manning,"Prince George, BC",CAN
Josh Manson,"Hinsdale, IL",USA
Anthony Mantha,"Longueuil, QC",CAN
Brad Marchand,"Halifax, NS",CAN
Jonathan Marchessault,"Cap-Rouge, QC",CAN
Patrick Marleau,"Aneroid, SK",CAN
Mitchell Marner,"Markham, ON",CAN
Patrick Maroon,"St. Louis, MO",USA
Matt Martin,"Windsor, ON",CAN
Paul Martin,"Minneapolis, MN",USA
Alec Martinez,"Rochester Hills, MI",USA
Jordan Martinook,"Brandon, MB",CAN
Michael Matheson,"Pointe-Claire, QC",CAN
Auston Matthews,"Scottsdale, AZ",USA
Shawn Matthias,"Mississauga, ON",CAN
Scott Mayfield,"St. Louis, MO",USA
Jamie McBain,"Edina, MN",USA
Jake McCabe,"Eau Claire, WI",USA
Jared McCann,"Stratford, ON",CAN
Michael McCarron,"Grosse Pointe, MI",USA
Jay McClement,"Kingston, ON",CAN
Max McCormick,"De Pere, WI",USA
Ian McCoshen,"Anaheim, CA",USA
Connor McDavid,"Richmond Hill, ON",CAN
Ryan McDonagh,"St. Paul, MN",USA
