Date,Dist,Duration,Pace,Speed,Shorts,Shirt,Notes,Temp Start,Temp End,Temp,Start Time,Bike?,Sleep,Game,Game 2wk,,Run Total,Run Pace,Run Diff,,Game Total,Game Pace,Game Dif,,Dif,,,,,,,,,
"Wednesday, March 30, 16",,,,,,,,,,,,,,,7.8,,10.12,73.8,-63.7,,69.2,73.8,4.6,,-59.1,,,,,,,,,
"Thursday, March 31, 16",,,,,,,,,,,,,,,7.8,,10.12,74.6,-64.5,,69.2,74.6,5.4,,-59.1,,,,,,,,,
"Friday, April 1, 16",,,,,,,,,,,,,,,7.8,,10.12,75.4,-65.3,,69.2,75.4,6.2,,-59.1,,,,,,,,,
"Saturday, April 2, 16",,,,,,,,,,,,,,,7.8,,10.12,76.2,-66.1,,69.2,76.2,7.0,,-59.1,,,,,,,,,
"Sunday, April 3, 16",,,,,,,,,,,,,,,7.8,,10.12,77.0,-66.9,,69.2,77.0,7.8,,-59.1,,,,,,,,,
"Monday, April 4, 16",,,,,,,,,,,,,,,7.8,,10.12,77.9,-67.7,,69.2,77.9,8.7,,-59.1,,,,,,,,,
"Tuesday, April 5, 16",,,,,,,,,,,,,,,7.8,,10.12,78.7,-68.6,,69.2,78.7,9.5,,-59.1,,,,,,,,,
"Wednesday, April 6, 16",,,,,,,,,,,,,,,7.8,,10.12,79.5,-69.4,,69.2,79.5,10.3,,-59.1,,,,,,,,,
"Thursday, April 7, 16",,,,,,,,,,,,,,,1,,10.12,80.3,-70.2,,69.2,80.3,11.1,,-59.1,,,,,,,,,
"Friday, April 8, 16",,,,,,,,,,,,,,,0,,10.12,81.1,-71.0,,69.2,81.1,11.9,,-59.1,,,,,,,,,
"Saturday, April 9, 16",,,,,,,,,,,,,,,0,,10.12,82.0,-71.8,,69.2,82.0,12.8,,-59.1,,,,,,,,,
"Sunday, April 10, 16",,,,,,,,,,,,,,,0,,10.12,82.8,-72.7,,69.2,82.8,13.6,,-59.1,,,,,,,,,
"Monday, April 11, 16",,,,,,,,,,,,,,,0,,10.12,83.6,-73.5,,69.2,83.6,14.4,,-59.1,,,,,,,,,
"Tuesday, April 12, 16",,,,,,,,,,,,,,,0,,10.12,84.4,-74.3,,69.2,84.4,15.2,,-59.1,,,,,,,,,
"Wednesday, April 13, 16",,,,,,,,,,,,,,,0,,10.12,85.2,-75.1,,69.2,85.2,16.0,,-59.1,,,,,,,,,
"Thursday, April 14, 16",,,,,,,,,,,,,,,0,,10.12,86.1,-75.9,,69.2,86.1,16.9,,-59.1,,,,,,,,,
"Friday, April 15, 16",5,25.62,5:07,11.71,Under Armour,HH,,,,14,12:20,,8,0.7,0.7,,15.12,86.9,-71.8,,69.9,86.9,17.0,,-54.8,,,,,,,,,
